Zip Code,State,Population,White,Black,AI,Asian,NHOPI,Other,Mixed,Hispanic
17935,PA,218,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
17936,PA,763,98.4,0.5,0.3,0.0,0.0,0.8,0.0,2.5
17938,PA,812,98.4,0.0,0.0,0.3,0.0,0.3,1.1,1.5
17938,PA,222,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17938,PA,"1,408",99.1,0.0,0.1,0.4,0.1,0.0,0.3,0.2
17941,PA,127,98.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0
17941,PA,707,99.4,0.0,0.0,0.1,0.0,0.0,0.4,0.0
17943,PA,185,99.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17943,PA,44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
17944,PA,205,95.1,2.4,0.5,0.0,0.0,0.5,1.5,1.9
17945,PA,177,99.4,0.0,0.0,0.0,0.0,0.6,0.0,0.6
17946,PA,263,94.7,0.0,0.4,0.0,0.0,2.3,2.7,5.3
17948,PA,23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
17948,PA,"4,162",95.3,1.0,0.3,0.3,0.0,1.4,1.8,4.7
17948,PA,844,99.4,0.4,0.1,0.0,0.0,0.0,0.1,1.4
17949,PA,263,97.0,0.0,0.0,0.0,0.0,2.7,0.4,4.2
17951,PA,325,96.3,0.0,0.0,0.3,0.0,0.9,2.5,1.2
17952,PA,282,99.3,0.0,0.0,0.3,0.0,0.0,0.3,1.4
17953,PA,405,98.8,1.0,0.0,0.0,0.0,0.0,0.3,0.0
17953,PA,64,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17954,PA,"4,397",95.6,1.4,0.2,0.6,0.0,1.0,1.3,2.5
17954,PA,167,98.8,0.6,0.0,0.0,0.0,0.0,0.6,0.0
17957,PA,328,99.4,0.0,0.0,0.0,0.0,0.0,0.6,0.3
17959,PA,"1,085",97.1,0.2,0.6,0.1,0.4,0.7,0.9,1.7
17959,PA,337,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
17960,PA,163,95.1,0.0,0.0,0.6,0.0,3.1,1.2,3.7
17960,PA,276,96.4,1.4,0.7,0.0,0.0,0.0,1.4,1.8
17960,PA,"3,429",98.6,0.1,0.1,0.2,0.0,0.3,0.7,0.9
17961,PA,687,97.2,0.6,0.3,1.0,0.0,0.0,0.9,1.0
17961,PA,"3,099",95.7,1.0,0.3,2.1,0.0,0.0,0.9,1.5
17961,PA,"3,172",96.4,0.5,0.0,1.6,0.1,0.4,1.0,1.2
17963,PA,"2,186",97.0,0.8,0.1,0.3,0.1,0.6,1.2,2.1
17963,PA,662,97.6,0.9,0.8,0.0,0.0,0.0,0.8,0.3
17963,PA,"6,469",98.7,0.2,0.2,0.1,0.1,0.1,0.6,0.7
17964,PA,798,97.1,1.1,0.3,0.3,0.0,0.8,0.5,1.4
17965,PA,"1,889",96.3,0.8,0.0,0.4,0.0,0.7,1.8,2.2
17965,PA,178,99.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0
17967,PA,197,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17967,PA,818,98.8,0.2,0.0,0.1,0.0,0.4,0.5,0.9
17967,PA,"1,442",98.7,0.8,0.0,0.0,0.0,0.1,0.5,0.3
17968,PA,329,99.1,0.3,0.3,0.0,0.0,0.0,0.3,0.3
17970,PA,"2,932",96.8,1.0,0.1,0.4,0.0,0.4,1.3,1.6
17970,PA,309,99.0,0.3,0.0,0.3,0.0,0.3,0.0,2.6
17972,PA,58,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17972,PA,772,98.3,0.0,0.0,0.3,0.0,0.3,1.2,0.9
17972,PA,159,98.1,0.0,0.6,0.0,0.6,0.6,0.0,1.3
17972,PA,574,91.3,0.9,0.0,4.7,0.0,0.5,2.6,2.6
17972,PA,"5,437",94.5,2.5,0.3,0.9,0.0,0.4,1.3,2.1
17972,PA,"4,621",95.0,2.8,0.1,0.7,0.0,0.6,0.7,1.5
17974,PA,344,98.5,0.0,0.0,0.0,0.0,0.6,0.9,2.3
17976,PA,"6,304",88.3,1.5,0.3,0.3,0.0,7.3,2.3,14.2
17976,PA,633,97.0,0.3,0.0,0.2,0.0,1.9,0.6,2.5
17978,PA,224,97.8,0.0,0.0,0.5,0.0,0.0,1.8,0.5
17979,PA,168,98.8,0.0,0.0,0.6,0.0,0.0,0.6,0.0
17980,PA,123,99.2,0.0,0.0,0.0,0.0,0.8,0.0,0.8
17980,PA,314,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17980,PA,424,95.8,1.9,0.9,1.2,0.0,0.0,0.2,0.5
17980,PA,"1,346",98.1,0.3,0.4,0.1,0.0,0.5,0.7,1.3
17980,PA,"1,031",98.5,0.1,0.2,0.3,0.0,0.6,0.3,0.9
17981,PA,328,99.7,0.0,0.3,0.0,0.0,0.0,0.0,0.3
17981,PA,243,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
17981,PA,"1,752",98.3,0.6,0.1,0.1,0.0,0.2,0.6,0.5
17981,PA,428,99.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
17982,PA,322,98.8,0.3,0.0,0.3,0.3,0.0,0.3,1.6
17982,PA,108,99.1,0.0,0.0,0.0,0.0,0.9,0.0,0.9
17983,PA,"1,461",98.2,0.2,0.1,0.3,0.0,0.7,0.6,0.8
17983,PA,159,98.1,0.0,0.0,0.6,0.0,1.3,0.0,1.3
17985,PA,"1,226",97.9,0.4,0.1,0.5,0.0,0.3,0.8,1.5
18011,PA,"2,361",93.0,2.0,0.1,1.3,0.0,1.9,1.7,5.5
18011,PA,"3,089",92.2,2.2,0.3,2.9,0.0,0.7,1.7,3.2
18013,PA,595,98.2,0.5,1.0,0.2,0.0,0.0,0.2,2.5
18013,PA,"5,273",94.9,1.2,0.1,0.2,0.0,1.6,2.0,5.0
18013,PA,"1,172",96.8,0.1,0.0,0.3,0.0,1.8,1.1,5.5
18013,PA,57,98.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0
18013,PA,"1,567",96.9,1.0,0.1,0.5,0.0,0.3,1.2,2.7
18013,PA,"9,138",97.1,0.9,0.1,0.6,0.0,0.4,0.9,2.1
18014,PA,"2,693",92.6,2.9,0.3,1.0,0.0,1.6,1.6,6.6
18014,PA,199,98.0,0.5,0.5,0.0,0.0,0.0,1.0,1.5
18014,PA,"8,495",97.5,0.7,0.0,0.6,0.0,0.5,0.8,2.1
18015,PA,"19,800",61.9,10.0,0.5,5.0,0.0,17.5,5.1,42.3
18015,PA,"4,597",81.4,6.6,0.1,0.8,0.0,7.7,3.4,22.5
18015,PA,"8,435",93.3,2.0,0.1,1.8,0.0,1.7,1.1,5.8
18017,PA,"22,488",79.7,6.4,0.3,2.3,0.1,8.5,2.7,20.9
18017,PA,"2,636",70.6,13.6,0.5,0.8,0.0,10.2,4.3,24.0
18017,PA,"12,425",88.2,2.6,0.0,5.8,0.0,1.4,2.0,4.6
18018,PA,"32,403",83.0,5.4,0.3,1.9,0.0,6.5,2.9,16.0
18020,PA,"7,441",89.3,3.9,0.1,1.6,0.0,3.0,1.9,9.6
18020,PA,"12,997",86.3,4.7,0.2,5.3,0.2,1.7,1.6,6.6
18030,PA,623,97.8,0.2,0.5,0.2,0.0,0.2,1.3,1.9
18031,PA,"4,138",79.9,5.2,0.5,11.1,0.0,1.7,1.6,7.1
18031,PA,"1,468",79.9,4.8,0.0,10.2,0.0,2.4,2.8,5.3
18031,PA,"1,922",89.4,1.8,0.0,4.8,0.1,1.3,2.6,4.7
18032,PA,"6,436",89.0,3.0,0.1,0.6,0.1,4.0,3.3,10.5
18032,PA,"2,849",95.2,1.2,0.1,0.9,0.0,1.7,1.0,5.2
18034,PA,953,93.8,2.9,0.0,0.6,0.0,0.8,1.8,3.7
18034,PA,"7,303",92.2,1.2,0.1,4.6,0.0,0.4,1.5,3.5
18035,PA,241,90.5,0.4,0.0,5.8,0.0,1.2,2.1,9.5
18036,PA,"2,386",95.7,0.6,0.1,1.1,0.0,0.9,1.5,3.5
18036,PA,"10,436",96.0,0.8,0.1,1.6,0.1,0.3,1.0,2.0
18037,PA,"3,138",92.5,2.7,0.3,0.9,0.0,2.0,1.5,6.4
18037,PA,"3,924",94.6,1.2,0.1,1.1,0.0,1.4,1.5,3.6
18038,PA,"3,091",97.8,0.4,0.1,0.4,0.0,0.2,1.1,1.2
18040,PA,34,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
